Freq [THz],"dB(S(1,1)) [] - l1='2um' w2='2um'","dB(S(1,1)) [] - l1='4um' w2='2um'","dB(S(1,1)) [] - l1='6um' w2='2um'","dB(S(1,1)) [] - l1='8um' w2='2um'","dB(S(1,1)) [] - l1='2um' w2='4um'","dB(S(1,1)) [] - l1='4um' w2='4um'","dB(S(1,1)) [] - l1='6um' w2='4um'","dB(S(1,1)) [] - l1='8um' w2='4um'","dB(S(1,1)) [] - l1='2um' w2='6um'","dB(S(1,1)) [] - l1='4um' w2='6um'","dB(S(1,1)) [] - l1='6um' w2='6um'","dB(S(1,1)) [] - l1='8um' w2='6um'","dB(S(1,1)) [] - l1='2um' w2='8um'","dB(S(1,1)) [] - l1='4um' w2='8um'","dB(S(1,1)) [] - l1='6um' w2='8um'","dB(S(1,1)) [] - l1='8um' w2='8um'","dB(S(1,1)) [] - l1='2um' w2='2um'","dB(S(1,1)) [] - l1='4um' w2='2um'","dB(S(1,1)) [] - l1='6um' w2='2um'","dB(S(1,1)) [] - l1='8um' w2='2um'","dB(S(1,1)) [] - l1='2um' w2='4um'","dB(S(1,1)) [] - l1='4um' w2='4um'","dB(S(1,1)) [] - l1='6um' w2='4um'","dB(S(1,1)) [] - l1='8um' w2='4um'","dB(S(1,1)) [] - l1='2um' w2='6um'","dB(S(1,1)) [] - l1='4um' w2='6um'","dB(S(1,1)) [] - l1='6um' w2='6um'","dB(S(1,1)) [] - l1='8um' w2='6um'","dB(S(1,1)) [] - l1='2um' w2='8um'","dB(S(1,1)) [] - l1='4um' w2='8um'","dB(S(1,1)) [] - l1='6um' w2='8um'","dB(S(1,1)) [] - l1='8um' w2='8um'","dB(S(1,1)) [] - l1='2um' w2='2um'","dB(S(1,1)) [] - l1='4um' w2='2um'","dB(S(1,1)) [] - l1='6um' w2='2um'","dB(S(1,1)) [] - l1='8um' w2='2um'","dB(S(1,1)) [] - l1='2um' w2='4um'","dB(S(1,1)) [] - l1='4um' w2='4um'","dB(S(1,1)) [] - l1='6um' w2='4um'","dB(S(1,1)) [] - l1='8um' w2='4um'","dB(S(1,1)) [] - l1='2um' w2='6um'","dB(S(1,1)) [] - l1='4um' w2='6um'","dB(S(1,1)) [] - l1='6um' w2='6um'","dB(S(1,1)) [] - l1='8um' w2='6um'","dB(S(1,1)) [] - l1='2um' w2='8um'","dB(S(1,1)) [] - l1='4um' w2='8um'","dB(S(1,1)) [] - l1='6um' w2='8um'","dB(S(1,1)) [] - l1='8um' w2='8um'","dB(S(1,1)) [] - l1='2um' w1='50um' w2='2um'","dB(S(1,1)) [] - l1='4um' w1='50um' w2='2um'","dB(S(1,1)) [] - l1='6um' w1='50um' w2='2um'","dB(S(1,1)) [] - l1='8um' w1='50um' w2='2um'","dB(S(1,1)) [] - l1='2um' w1='50um' w2='4um'","dB(S(1,1)) [] - l1='4um' w1='50um' w2='4um'","dB(S(1,1)) [] - l1='6um' w1='50um' w2='4um'","dB(S(1,1)) [] - l1='8um' w1='50um' w2='4um'","dB(S(1,1)) [] - l1='2um' w1='50um' w2='6um'","dB(S(1,1)) [] - l1='4um' w1='50um' w2='6um'","dB(S(1,1)) [] - l1='6um' w1='50um' w2='6um'","dB(S(1,1)) [] - l1='8um' w1='50um' w2='6um'","dB(S(1,1)) [] - l1='2um' w1='50um' w2='8um'","dB(S(1,1)) [] - l1='4um' w1='50um' w2='8um'","dB(S(1,1)) [] - l1='6um' w1='50um' w2='8um'","dB(S(1,1)) [] - l1='8um' w1='50um' w2='8um'","dB(S(1,1)) [] - l1='2um' w1='60um' w2='2um'","dB(S(1,1)) [] - l1='4um' w1='60um' w2='2um'","dB(S(1,1)) [] - l1='6um' w1='60um' w2='2um'","dB(S(1,1)) [] - l1='8um' w1='60um' w2='2um'","dB(S(1,1)) [] - l1='2um' w1='60um' w2='4um'","dB(S(1,1)) [] - l1='4um' w1='60um' w2='4um'","dB(S(1,1)) [] - l1='6um' w1='60um' w2='4um'","dB(S(1,1)) [] - l1='8um' w1='60um' w2='4um'","dB(S(1,1)) [] - l1='2um' w1='60um' w2='6um'","dB(S(1,1)) [] - l1='4um' w1='60um' w2='6um'","dB(S(1,1)) [] - l1='6um' w1='60um' w2='6um'","dB(S(1,1)) [] - l1='8um' w1='60um' w2='6um'","dB(S(1,1)) [] - l1='2um' w1='60um' w2='8um'","dB(S(1,1)) [] - l1='4um' w1='60um' w2='8um'","dB(S(1,1)) [] - l1='6um' w1='60um' w2='8um'","dB(S(1,1)) [] - l1='8um' w1='60um' w2='8um'","dB(S(1,1)) [] - l1='2um' w2='2um'","dB(S(1,1)) [] - l1='4um' w2='2um'","dB(S(1,1)) [] - l1='6um' w2='2um'","dB(S(1,1)) [] - l1='8um' w2='2um'","dB(S(1,1)) [] - l1='2um' w2='4um'","dB(S(1,1)) [] - l1='4um' w2='4um'","dB(S(1,1)) [] - l1='6um' w2='4um'","dB(S(1,1)) [] - l1='8um' w2='4um'","dB(S(1,1)) [] - l1='2um' w2='6um'","dB(S(1,1)) [] - l1='4um' w2='6um'","dB(S(1,1)) [] - l1='6um' w2='6um'","dB(S(1,1)) [] - l1='8um' w2='6um'","dB(S(1,1)) [] - l1='2um' w2='8um'","dB(S(1,1)) [] - l1='4um' w2='8um'","dB(S(1,1)) [] - l1='6um' w2='8um'","dB(S(1,1)) [] - l1='8um' w2='8um'","dB(S(1,1)) [] - l1='2um' w2='2um'","dB(S(1,1)) [] - l1='4um' w2='2um'","dB(S(1,1)) [] - l1='6um' w2='2um'","dB(S(1,1)) [] - l1='8um' w2='2um'","dB(S(1,1)) [] - l1='2um' w2='4um'","dB(S(1,1)) [] - l1='4um' w2='4um'","dB(S(1,1)) [] - l1='6um' w2='4um'","dB(S(1,1)) [] - l1='8um' w2='4um'","dB(S(1,1)) [] - l1='2um' w2='6um'","dB(S(1,1)) [] - l1='4um' w2='6um'","dB(S(1,1)) [] - l1='6um' w2='6um'","dB(S(1,1)) [] - l1='8um' w2='6um'","dB(S(1,1)) [] - l1='2um' w2='8um'","dB(S(1,1)) [] - l1='4um' w2='8um'","dB(S(1,1)) [] - l1='6um' w2='8um'","dB(S(1,1)) [] - l1='8um' w2='8um'"
2.213333333,-13.33702068,-15.19411152,-14.72943707,-14.75537232,-13.82432026,-15.71610817,-15.98555889,-15.32067407,-16.78152314,-13.72662269,-14.0985428,-14.74653466,-14.53159539,-15.94409323,-13.64317486,-15.03155395,-12.02801794,-13.24298412,-12.12025819,-11.86686347,-12.39246031,-14.10394633,-12.80868337,-12.64231319,-13.6060965,-17.69909647,-13.64937005,-11.12414698,-13.09055495,-15.89495622,-11.86281026,-14.74891899,-10.83223852,-13.05428725,-16.66413892,-12.33619985,-14.42712212,-13.84199269,-13.06454832,-12.81328782,-13.70345227,-13.97568259,-14.99939538,-13.42740299,-14.08112434,-14.6456127,-14.72918075,-15.83617191,-12.56778501,-12.54444448,-14.57891821,-13.30136651,-14.33938481,-14.83001326,-14.73473382,-13.78270997,-11.95732213,-14.90993071,-14.79579142,-9.384010509,-15.04275601,-16.14775024,-15.19599644,-16.52435086,-12.82189782,-12.45531395,-22.4704394,-12.60996071,-10.68585957,-14.87677089,-12.65524722,-13.68634779,-17.1178034,-18.21579929,-12.97334698,-14.9678,-16.00593432,-15.38280075,-16.22828809,-13.72741892,-12.89621095,-13.09059493,-13.25945306,-13.76265203,-13.49335895,-13.53690321,-15.40807619,-12.67744812,-14.91130241,-14.71790094,-15.16485885,-13.97853541,-15.18902321,-15.05307754,-15.89242351,-14.72707779,-15.52401053,-13.53537036,-13.9681087,-12.95190169,-14.87933476,-16.7311891,-16.54958785,-12.99007125,-15.52937414,-14.92084765,-16.93854135,-14.38310979,-10.30714538,-16.31371863,-15.07573207,-14.56020388
2.226666667,-13.50384989,-15.41060193,-14.90096823,-14.89044533,-13.85530737,-15.98120993,-16.24774138,-15.4623397,-17.2087824,-13.82335325,-14.26799319,-15.00883794,-14.70877053,-16.15449312,-13.77954375,-15.17812202,-12.14621182,-13.30877061,-12.25654116,-11.99481372,-12.28035699,-14.21673733,-12.88493483,-12.69914959,-13.75651448,-17.40343559,-13.76437358,-11.29311345,-13.22023289,-16.1397458,-11.94292982,-14.7795716,-10.95441687,-13.17275766,-16.87130432,-12.42081355,-14.58662654,-14.02321086,-13.27435825,-12.92868575,-13.85206971,-14.13390334,-15.13616164,-13.55198407,-14.24022959,-14.81858297,-14.8847667,-15.95602278,-12.56520197,-13.68659888,-14.34248362,-17.17390615,-11.65864674,-12.27555607,-12.93035829,-11.97094203,-10.29863365,-11.95040319,-9.591041018,-8.161305156,-11.74232726,-11.62474428,-8.351331502,-7.774494522,-17.27079983,-19.40184332,-17.4874178,-12.95576764,-13.51789746,-12.77557864,-13.4145537,-11.47121816,-10.34026007,-9.161073457,-8.272735894,-12.6413005,-7.53968567,-6.469293151,-6.447458066,-5.957981603,-13.04832998,-13.23619049,-13.3901454,-13.85623338,-13.63473741,-13.67694092,-15.55924415,-12.82010638,-15.05968765,-14.86264604,-15.29777359,-14.06528459,-15.30655843,-15.32598646,-16.03589935,-14.87285258,-15.6508934,-13.69242107,-14.10337655,-13.07945874,-15.0607163,-16.81892645,-16.72230588,-13.09495329,-15.68809831,-15.08363849,-16.75392222,-14.56670626,-10.39095636,-16.31335773,-15.19351615,-14.67553107
2.24,-13.67400356,-15.62901411,-15.07172902,-15.02558729,-13.87652167,-16.25255865,-16.51404773,-15.59426044,-17.66337687,-13.91824974,-14.43883365,-15.27700205,-14.88833254,-16.36212521,-13.91869282,-15.32041856,-12.2677262,-13.37588284,-12.39685851,-12.12616089,-12.1999558,-14.32781462,-12.96318339,-12.75833332,-13.91073208,-17.09659292,-13.87916538,-11.47200511,-13.36642031,-16.38342275,-12.02666942,-14.80508463,-11.0801866,-13.29098666,-17.07505396,-12.50485764,-14.74761235,-14.20668415,-13.49219991,-13.04432241,-14.00261622,-14.29177281,-15.26970636,-13.67448968,-14.39969655,-14.9897432,-15.03714165,-16.06208249,-12.50071017,-14.08170348,-14.58700892,-15.15122484,-12.02873788,-13.77407222,-12.64817923,-13.34296087,-12.98783749,-14.48905276,-10.23794704,-11.7261086,-13.26774236,-14.1690336,-11.90495628,-9.445965823,-6.271582938,-6.553206352,-7.137380484,-8.54504555,-4.282089234,-4.474154858,-8.599987403,-11.35943898,-10.69822346,-6.075992778,-9.436936897,-13.79800087,-10.18757014,-9.893871709,-10.08298287,-13.05000214,-13.2030941,-13.38419453,-13.5227587,-13.94957167,-13.77694586,-13.81747546,-15.70489958,-12.96584806,-15.20487959,-15.00816697,-15.43233549,-14.15161697,-15.41978092,-15.60902407,-16.17279627,-15.01450547,-15.77906523,-13.85177553,-14.2396922,-13.20813644,-15.24193732,-16.89834076,-16.87512035,-13.19950983,-15.84337521,-15.24418856,-16.58302284,-14.75286484,-10.47797013,-16.30278437,-15.30499634,-14.79435519
2.253333333,-13.84756537,-15.84904444,-15.2412535,-15.16075669,-13.88957454,-16.52995424,-16.78376361,-15.71498019,-18.14861698,-14.01138194,-14.61094944,-15.55040744,-15.07043131,-16.56606147,-14.06074075,-15.4571251,-12.39273756,-13.44457446,-12.54142214,-12.26106554,-12.14675529,-14.4371773,-13.04372977,-12.82004161,-14.06896573,-16.78789446,-13.99373153,-11.65663827,-13.52227771,-16.62452007,-12.11422324,-14.82579641,-11.20972982,-13.40892269,-17.27426343,-12.58835709,-14.91005319,-14.39224676,-13.71845255,-13.16018283,-14.15513078,-14.44905548,-15.39984869,-13.79462991,-14.55940472,-15.15859933,-15.18576484,-16.15301927,-12.49424797,-12.64474459,-13.88597883,-19.57098496,-11.8575144,-9.756911336,-10.33104545,-10.45857513,-8.456689564,-10.70298045,-9.115089099,-10.00554721,-10.69197191,-10.19002854,-8.891562905,-12.63778306,-11.52187084,-11.83227485,-13.38247256,-19.56042827,-14.36074403,-10.97482959,-11.7803469,-13.39385257,-12.19758922,-11.81917594,-10.48394098,-12.0153924,-9.528980504,-9.189565255,-9.254670024,-11.81914322,-13.36055929,-13.53465714,-13.657381,-14.04272942,-13.91995018,-13.9584581,-15.84450895,-13.11477714,-15.34646326,-15.15444919,-15.5676955,-14.23759236,-15.52843635,-15.90270144,-16.30251441,-15.15143454,-15.90859576,-14.01344224,-14.37709507,-13.33791863,-15.42259839,-16.96958255,-17.00621306,-13.30372868,-15.99490504,-15.40203494,-16.42640524,-14.94146982,-10.56833288,-16.28310734,-15.40981173,-14.91681076
2.266666667,-14.02462157,-16.07035485,-15.40902448,-15.29591383,-13.89662294,-16.81306604,-17.0559507,-15.82300288,-18.66841281,-14.10285127,-14.78421405,-15.82817489,-15.25518351,-16.76535055,-14.20581314,-15.58586213,-12.52143398,-13.51511252,-12.69045841,-12.39969809,-12.11712322,-14.54485247,-13.12688859,-12.88445884,-14.23144875,-16.48488154,-14.10805873,-11.85164269,-13.67976154,-16.86128121,-12.20578544,-14.84209647,-11.34324022,-13.52652072,-17.46769153,-12.67134515,-15.07392013,-14.57969704,-13.95350231,-13.27625238,-14.30965399,-14.60550542,-15.52642157,-13.9121075,-14.71922656,-15.32462889,-15.33007653,-16.22760574,-12.42271851,-12.34636179,-14.33448085,-13.17303349,-14.1938494,-14.69715586,-14.44752536,-13.66348867,-11.95017475,-14.754891,-14.62040887,-9.479701506,-14.87316276,-15.96094768,-15.06096396,-16.54632523,-12.64248135,-12.31452156,-21.1453831,-12.48854353,-10.90399038,-14.82813135,-12.53461112,-13.54449903,-16.75870839,-18.22157903,-13.0760066,-14.86557598,-15.71241411,-15.09139434,-16.02351974,-13.58871639,-13.52078326,-13.68763093,-13.79410543,-14.13577535,-14.0637158,-14.09983992,-15.97757691,-13.26700116,-15.48402484,-15.30147784,-15.70270517,-14.32327854,-15.63228843,-16.20752565,-16.42448852,-15.28302655,-16.03955723,-14.17742754,-14.51563145,-13.46878655,-15.60225833,-17.03289342,-17.11417593,-13.40760393,-16.14240161,-15.55669364,-16.2843672,-15.1323716,-10.66219871,-16.25548921,-15.50764335,-15.04303662
2.28,-14.20526112,-16.29257117,-15.5744715,-15.43102089,-13.9003022,-17.10139529,-17.32939879,-15.91682194,-19.22740749,-14.19279306,-14.95848867,-16.10909598,-15.44269941,-16.95902912,-14.35404311,-15.70161591,-12.65401608,-13.58777778,-12.84420937,-12.54223957,-12.10812362,-14.65089824,-13.21298854,-12.95177757,-14.39843298,-16.19344311,-14.22213425,-12.07689475,-13.83256466,-17.09162568,-12.30155438,-14.85442148,-11.48092574,-13.64374395,-17.6539851,-12.7538646,-15.23918155,-14.76879267,-14.19774471,-13.39251673,-14.46622818,-14.76086732,-15.64927309,-14.0266203,-14.87902742,-15.48728311,-15.46950409,-16.2847632,-12.2825344,-12.15513207,-14.09776036,-13.04521302,-14.04911955,-14.55957399,-14.17372828,-13.54473006,-11.95076627,-14.60033649,-14.44707697,-9.608878817,-14.70546809,-15.77188425,-14.92461484,-16.56280409,-12.46918175,-12.17954846,-20.0356071,-12.37079153,-11.09388306,-14.77685893,-12.42069776,-13.40515147,-16.41617549,-18.21125635,-13.18643889,-14.75844965,-15.43183038,-14.81167049,-15.82153518,-13.45368435,-13.6838255,-13.84317117,-13.93303048,-14.2287845,-14.20820777,-14.24157182,-16.1036606,-13.42263122,-15.61715838,-15.44923775,-15.83598967,-14.40875161,-15.73112268,-16.52398203,-16.53820166,-15.4086667,-16.17202419,-14.34373547,-14.65535527,-13.60071864,-15.7804335,-17.08860221,-17.19810827,-13.51113671,-16.2855953,-15.70766388,-16.15700843,-15.3253807,-10.75973011,-16.2211188,-15.59821998,-15.17317578
2.293333333,-14.38957585,-16.5152819,-15.73696954,-15.56604197,-13.9036155,-17.39422858,-17.60257138,-15.99495524,-19.83113756,-14.28137871,-15.13362163,-16.39154944,-15.63310103,-17.1461357,-14.50557185,-15.792433,-12.79069808,-13.66286508,-13.00293417,-12.68888245,-12.11737795,-14.75540675,-13.3023725,-13.02219973,-14.57019067,-15.9180412,-14.33594597,-12.40151039,-13.97741378,-17.31311893,-12.40173527,-14.86325042,-11.62301207,-13.76056554,-17.83168965,-12.83596943,-15.40580302,-14.95924553,-14.45158505,-13.50896187,-14.6248975,-14.91487767,-15.76826757,-14.13786422,-15.03866532,-15.64598961,-15.60346958,-16.32360412,-12.19641751,-13.08609515,-12.43725424,-12.27681412,-14.86409156,-12.3959562,-10.91371881,-13.09270516,-10.8399354,-11.79576705,-8.152627232,-11.30609311,-8.460917236,-6.695369182,-9.179696677,-13.97730253,-10.85401064,-13.47306511,-12.29874297,-13.39913189,-13.50323261,2.473034732,-11.66175747,-12.30060424,-7.50874885,-15.00848486,-11.02204067,-12.42318311,-11.44901475,-5.969025388,-8.222959301,-9.104511711,-13.84974743,-14.00133591,-14.07426019,-14.32183819,-14.35339087,-14.38360467,-16.22238443,-13.581782,-15.74547344,-15.59771336,-15.96608722,-14.49409624,-15.82475014,-16.85250789,-16.64319901,-15.52775015,-16.3060731,-14.51236776,-14.79632896,-13.7336904,-15.95659796,-17.13711925,-17.25768719,-13.61433606,-16.42423598,-15.85443356,-16.04428247,-15.52026088,-10.86109825,-16.18118674,-15.68132287,-15.30737523
2.306666667,-14.5776607,-16.73803714,-15.89583855,-15.70094305,-13.9097899,-17.69058088,-17.87354582,-16.05598429,-20.48621654,-14.36881761,-15.30944794,-16.67340301,-15.82653839,-17.32572672,-14.66054926,-15.82892107,-12.93170889,-13.74068365,-13.16691057,-12.83983162,-12.14295489,-14.85850701,-13.39539797,-13.09593787,-14.74701653,-15.66196137,-14.44948234,-13.25977921,-14.11367648,-17.52295095,-12.50654218,-14.86909888,-11.7697472,-13.87697072,-17.99926661,-12.91772678,-15.5737472,-15.15071628,-14.71543696,-13.6255741,-14.78570802,-15.06726612,-15.88328661,-14.24553658,-15.19799092,-15.80015575,-15.73139867,-16.34346989,-12.19260998,-12.79115304,-12.07649044,-11.9042309,-13.55588901,-11.76469149,-10.74046028,-12.03663963,-10.91690903,-10.78896726,-7.973692854,-10.61400074,-7.439363608,-6.942250104,-8.30136823,-12.41079993,-10.77909903,-13.38963948,-11.72507731,-13.3024857,-11.43836438,-0.708983032,-11.18283022,-12.28228233,-7.885623837,-13.40724039,-10.44672999,-10.14207593,-10.769678,-5.930094092,-7.339681642,-9.130899716,-14.01861248,-14.16218605,-14.21790439,-14.41502406,-14.49922961,-14.5258894,-16.3334545,-13.74457176,-15.86860358,-15.74688875,-16.09164618,-14.57940605,-15.91301099,-17.19345432,-16.7391012,-15.63969534,-16.44178183,-14.68332376,-14.93862432,-13.8676741,-16.13018489,-17.17892888,-17.29320204,-13.71721978,-16.55809563,-15.99648607,-15.94603683,-15.71672132,-10.96648343,-16.13686461,-15.75678908,-15.44578562
2.32,-14.76961387,-16.96034812,-16.05034412,-15.83569207,-13.92211412,-17.98912697,-18.13995067,-16.09859584,-21.2005212,-14.45535902,-15.48578888,-16.95190257,-16.02320776,-17.49689436,-14.81913466,-15.75311441,-13.07729343,-13.82155753,-13.33643671,-12.99530538,-12.18328331,-14.96036773,-13.49243754,-13.17321667,-14.92923008,-15.42754984,-14.56273234,-8.388255275,-14.24228786,-17.71792937,-12.61619998,-14.87251287,-11.92140798,-13.99295898,-18.15511835,-12.99921935,-15.7429737,-15.34280883,-14.98971934,-13.74234004,-14.94870784,-15.2177571,-15.99422981,-14.34934004,-15.3568474,-15.94917231,-15.85273094,-16.34396036,-12.18829981,-11.50726186,-11.73444191,-11.9688983,-12.11364026,-11.65423052,-13.18827998,-12.37564601,-13.12986254,-12.12303044,-12.17685799,-12.94890288,-12.12299357,-11.56519733,-12.16791629,-13.90752277,-12.41239203,-13.92057127,-12.40208957,-12.44843688,-13.35444345,-8.472154334,-10.28441386,-10.686987,-11.3003356,-9.785530741,-11.49107976,-10.91054563,-11.91143869,-11.98505897,-12.40709912,-8.226862411,-14.19048622,-14.32578525,-14.36407896,-14.50843602,-14.64568829,-14.66837706,-16.43667225,-13.91112228,-15.98621548,-15.89674753,-16.21164538,-14.66478385,-15.99577777,-17.54703102,-16.82561682,-15.74395871,-16.57922911,-14.85660032,-15.08232352,-14.00263867,-16.30058948,-17.21458067,-17.30554801,-13.81981538,-16.68697083,-16.13330839,-15.86204384,-15.91440768,-11.07607534,-16.08928818,-15.82451327,-15.58856081
2.333333333,-14.96553705,-17.18168719,-16.19969933,-15.97025882,-13.94377559,-18.28812086,-18.39890489,-16.12162336,-21.98331738,-14.54129361,-15.66245165,-17.22355408,-16.22337599,-17.65878566,-14.98149759,-15.54107305,-13.22771396,-13.90582586,-13.51183301,-13.15553658,-12.23708351,-15.06119991,-13.59387962,-13.25427443,-15.11717822,-15.21641998,-14.6756855,-11.37643082,-14.3647995,-17.89449411,-12.73094653,-14.8740621,-12.07830954,-14.10854653,-18.29762122,-13.08054839,-15.91343893,-15.53506482,-15.27485164,-13.85924664,-15.11394717,-15.36607154,-16.10101543,-14.44898695,-15.51507047,-16.09241774,-15.9669315,-16.32495299,-12.18771886,-11.49993766,-11.72256733,-11.9453834,-12.0994848,-11.63076029,-13.19072514,-12.35367697,-13.13402013,-12.1030059,-12.15875646,-12.9593172,-12.10334321,-11.55976879,-12.14327163,-13.84612111,-12.40189926,-13.96756631,-12.39971239,-12.45791538,-13.44626254,-8.456058129,-10.28621062,-10.68117137,-11.3020615,-9.781953164,-11.48320921,-10.88866247,-11.93067871,-11.981169,-12.41120848,-8.22602195,-14.36543642,-14.49219974,-14.51290601,-14.60217421,-14.79273111,-14.81101895,-16.53194662,-14.0815588,-16.09801863,-16.0472729,-16.32558132,-14.75034195,-16.07295839,-17.9132277,-16.90255309,-15.84005061,-16.71849364,-15.03219181,-15.2275201,-14.13854943,-16.4671735,-17.24467977,-17.2961798,-13.92216101,-16.81068488,-16.26440046,-15.79202413,-16.11289226,-11.19007339,-16.03954448,-15.8844477,-15.73585731
2.346666667,-15.16553566,-17.40148852,-16.34306811,-16.10461498,-13.97771411,-18.58530428,-18.64696656,-16.12408538,-22.84515334,-14.62695499,-15.83922907,-17.48400941,-16.4274165,-17.81062196,-15.14781861,-15.35461544,-13.38325164,-13.99384329,-13.69344428,-13.32077389,-12.30331272,-15.16125921,-13.70012937,-13.33936485,-15.31123825,-15.02962328,-14.78833187,-11.81121594,-14.48280135,-18.04876062,-12.85103552,-14.87433287,-12.24081944,-14.22376897,-18.42516652,-13.16183731,-16.08509599,-15.7269584,-15.57124697,-13.97628116,-15.28147852,-15.51192883,-16.20358068,-14.5442042,-15.67248843,-16.22926254,-16.07350342,-16.28660954,-12.18670408,-11.49254328,-11.71061887,-11.92172091,-12.08494235,-11.60728475,-13.19267064,-12.33103983,-13.13711562,-12.08260416,-12.14037901,-12.96812078,-12.08336036,-11.55431083,-12.11838234,-13.78433974,-12.3913637,-14.01347522,-12.3972768,-12.46697832,-13.5402642,-8.439906829,-10.28825671,-10.67529353,-11.30371169,-9.778364113,-11.47536513,-10.86661329,-11.94959257,-11.97708009,-12.41497865,-8.225187788,-14.54353324,-14.66149793,-14.66451409,-14.6963449,-14.94032215,-14.95376667,-16.61930406,-14.25600982,-16.20377519,-16.19844753,-16.43356368,-14.83620245,-16.14449848,-18.29170278,-16.96982455,-15.92755179,-16.85965309,-15.21009,-15.3743201,-14.2753679,-16.62927206,-17.26987671,-17.26703169,-14.02430651,-16.92908958,-16.38928574,-15.7356641,-16.31166292,-11.30868685,-15.98866273,-15.93660025,-15.88783346
2.36,-15.36971904,-17.61914969,-16.47957007,-16.23873406,-14.02650597,-18.87780789,-18.88010216,-16.10521766,-23.7970763,-14.71272088,-16.01589948,-17.72797521,-16.63586588,-17.95171777,-15.3182903,-15.32224399,-13.54420823,-14.08598027,-13.88164219,-13.49128314,-12.38112169,-15.2608482,-13.81160992,-13.42875897,-15.51182117,-14.86778657,-14.900662,-12.03099057,-14.59765461,-18.17659817,-12.97674055,-14.87392078,-12.40937953,-14.33868423,-18.53620829,-13.24323619,-16.25789454,-15.91789174,-15.87930266,-14.09343116,-15.45135674,-15.6550489,-16.3018819,-14.63473844,-15.82892227,-16.35907379,-16.17200101,-16.22936992,-12.18524781,-11.4850776,-11.69859652,-11.89791864,-12.07002156,-11.5838125,-13.19410111,-12.30773355,-13.13914909,-12.06184066,-12.12173136,-12.97526495,-12.06305307,-11.54882658,-12.0932508,-13.7222123,-12.3807871,-14.05827653,-12.3947634,-12.47561259,-13.63652678,-8.4237023,-10.29055607,-10.66935262,-11.30528569,-9.774763188,-11.46755124,-10.84440299,-11.96816201,-11.97279332,-12.41840901,-8.224361001,-14.72484929,-14.83374972,-14.81903837,-14.79106036,-15.0884255,-15.09657223,-16.69889584,-14.43460694,-16.30330994,-16.35025353,-16.53628546,-14.92249752,-16.21038338,-18.68162803,-17.02745901,-16.00612987,-17.00278272,-15.39028406,-15.52284326,-14.41305159,-16.78620252,-17.29085714,-17.2204142,-14.12631446,-17.04206664,-16.50752283,-15.69262894,-16.51011119,-11.43213498,-15.93760851,-15.9810305,-16.0446484
2.373333333,-15.57820079,-17.83403425,-16.60828693,-16.37259131,-14.09228718,-19.16205292,-19.09369093,-16.06449613,-24.84804299,-14.79901423,-16.19222666,-17.94917378,-16.84951832,-18.0814981,-15.49311827,-15.36802444,-13.71090799,-14.18262337,-14.07682793,-13.66734885,-12.46981989,-15.36031824,-13.92876382,-13.52274722,-15.71937552,-14.73121974,-15.01266695,-12.1870034,-14.71040504,-18.27374626,-13.10836145,-14.87342325,-12.58454105,-14.45337565,-18.62931601,-13.32492727,-16.4317806,-16.10719159,-16.19938749,-14.21068453,-15.62363922,-15.79515442,-16.39589448,-14.7203616,-15.98418589,-16.48121958,-16.26204321,-16.15393375,-12.18334251,-11.47753946,-11.68650028,-11.87398458,-12.0547313,-11.56035234,-13.19500138,-12.28376034,-13.14012133,-12.04073116,-12.10281942,-12.98070244,-12.04242981,-11.5433192,-12.0678798,-13.65977199,-12.37017131,-14.1019464,-12.39215108,-12.483805,-13.73513263,-8.407446494,-10.29311262,-10.66334779,-11.30678304,-9.771149978,-11.45977141,-10.82203662,-11.98636996,-11.96830994,-12.42149933,-8.223542699,-14.90945972,-15.00902558,-14.97662077,-14.88643868,-15.23700523,-15.23938811,-16.77100239,-14.61748451,-16.39651981,-16.50267243,-16.63487835,-15.00936964,-16.27063935,-19.0814743,-17.07560058,-16.07555514,-17.14795365,-15.57276047,-15.6732242,-14.55155378,-16.93727598,-17.30833187,-17.15889945,-14.22826125,-17.14952858,-16.61871778,-15.66257179,-16.70751957,-11.56064694,-15.8872809,-16.01784377,-16.20646076
